variant_id,threshold,mode,signals,signals_per_year
dollar_up_risk_off_short_1000,0.55,min,1714,111.0194183365845
dollar_up_risk_off_short_1000,0.6,min,1523,98.64794289767688
dollar_up_risk_off_short_1000,0.65,min,1333,86.34123958148608
dollar_down_risk_on_long_1030,0.45,max,1661,107.58649583259442
dollar_down_risk_on_long_1030,0.4,max,1462,94.69684341195247
dollar_down_risk_on_long_1030,0.35,max,1261,81.67764674587693
high_dollar_up_short_1130,0.55,min2,1141,73.90499201986168
high_dollar_up_short_1130,0.6,min2,981,63.54145238517467
high_dollar_up_short_1130,0.65,min2,822,53.24268487320447
five_day_dollar_up_short_1200,0.55,min,1725,111.73191168646923
five_day_dollar_up_short_1200,0.6,min,1546,100.13770172016315
five_day_dollar_up_short_1200,0.65,min,1343,86.98896080865401
five_day_dollar_down_long_1330,0.45,max,1647,106.67968611455932
five_day_dollar_down_long_1330,0.4,max,1432,92.75367973044865
five_day_dollar_down_long_1330,0.35,max,1274,82.51968434119524
