variant_id,entry_time,lookback_minutes,setup_mode,fixed_min_lead_gap_bps,min_es_return_bps,min_orderflow_imbalance,signals,signals_per_year,long_signals,short_signals
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,2.0,0.0,734,47.5680447125621,366,368
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,2.0,0.02,318,20.608498935415188,167,151
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,2.0,0.04,124,8.036018452803408,66,58
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,3.0,0.0,713,46.20710610361959,360,353
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,3.0,0.02,311,20.15485273243435,165,146
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,3.0,0.04,123,7.971211852377573,66,57
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,4.0,0.0,681,44.133294889992904,347,334
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,4.0,0.02,301,19.50678672817601,158,143
early30_gap0_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,0.0,4.0,0.04,120,7.776792051100071,63,57
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,2.0,0.0,690,44.71655429382541,341,349
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,2.0,0.02,294,19.053140525195175,151,143
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,2.0,0.04,115,7.4527590489709015,61,54
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,3.0,0.0,670,43.42042228530873,335,335
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,3.0,0.02,288,18.66430092264017,149,139
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,3.0,0.04,114,7.387952448545067,61,53
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,4.0,0.0,640,41.47622427253371,323,317
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,4.0,0.02,279,18.081041518807666,143,136
early30_gap1_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,1.0,4.0,0.04,111,7.193532647267566,58,53
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,2.0,0.0,641,41.541030872959546,317,324
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,2.0,0.02,275,17.82181511710433,143,132
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,2.0,0.04,105,6.804693044712562,56,49
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,3.0,0.0,622,40.3097054648687,311,311
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,3.0,0.02,269,17.432975514549327,141,128
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,3.0,0.04,104,6.739886444286729,56,48
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,4.0,0.0,593,38.43031405251952,299,294
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,4.0,0.02,260,16.84971611071682,135,125
early30_gap2_signed_confirm_1000,10:00:00,30,two_sided_nq_lag_follow,2.0,4.0,0.04,101,6.5454666430092265,53,48
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,2.0,0.0,521,33.76423882185947,281,240
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,2.0,0.02,241,15.618390702625977,133,108
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,2.0,0.04,95,6.1566270404542225,54,41
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,3.0,0.0,519,33.63462562100781,281,238
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,3.0,0.02,240,15.553584102200142,133,107
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,3.0,0.04,95,6.1566270404542225,54,41
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,4.0,0.0,514,33.31059261887864,279,235
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,4.0,0.02,238,15.423970901348474,132,106
early30_confirmed_gap0_signed_confirm_1000,10:00:00,30,two_sided_confirmed_follow,0.0,4.0,0.04,95,6.1566270404542225,54,41
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,2.0,0.0,809,52.428539744499645,398,411
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,2.0,0.02,280,18.1458481192335,134,146
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,2.0,0.04,85,5.508561036195884,42,43
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,3.0,0.0,796,51.58605393896381,392,404
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,3.0,0.02,278,18.01623491838183,133,145
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,3.0,0.04,85,5.508561036195884,42,43
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,4.0,0.0,773,50.095502129169624,380,393
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,4.0,0.02,273,17.69220191625266,129,144
early60_gap0_signed_confirm_1030,10:30:00,60,two_sided_nq_lag_follow,0.0,4.0,0.04,84,5.44375443577005,42,42
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,2.0,0.0,755,48.92898332150461,379,376
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,2.0,0.02,485,31.431201206529455,236,249
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,2.0,0.04,278,18.01623491838183,126,152
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,3.0,0.0,711,46.07749290276792,358,353
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,3.0,0.02,467,30.264682398864444,225,242
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,3.0,0.04,267,17.303362313697658,121,146
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,4.0,0.0,660,42.77235628105039,336,324
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,4.0,0.02,440,28.514904187366927,214,226
early15_gap0_signed_confirm_1030,10:30:00,15,two_sided_nq_lag_follow,0.0,4.0,0.04,253,16.396069907735985,117,136
