variant_id,entry_grid_row,driver_column,tail,factor_rank_threshold,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,latest_252_signals,pass_density
hml_21d_value_strength_short_1000,1,hml_21d_rank_252,high,0.25,1030,68.07238394964594,43,60.876404494382015,82,True
hml_21d_value_strength_short_1000,2,hml_21d_rank_252,high,0.3,1222,80.7616050354052,47,66.53932584269663,94,True
hml_21d_value_strength_short_1000,3,hml_21d_rank_252,high,0.35,1410,93.18646734854445,53,75.03370786516854,106,True
hml_21d_growth_strength_long_1030,1,hml_21d_rank_252,low,0.3,1162,76.79622344610543,53,75.03370786516854,70,True
hml_21d_growth_strength_long_1030,2,hml_21d_rank_252,low,0.35,1328,87.76711250983477,57,80.69662921348313,80,True
hml_21d_growth_strength_long_1030,3,hml_21d_rank_252,low,0.4,1522,100.588512981904,67,94.85393258426966,96,True
rmw_63d_quality_strength_long_1130,1,rmw_63d_rank_252,high,0.25,947,62.586939417781274,89,125.99999999999999,58,True
rmw_63d_quality_strength_long_1130,2,rmw_63d_rank_252,high,0.3,1099,72.63257277734067,90,127.41573033707864,68,True
rmw_63d_quality_strength_long_1130,3,rmw_63d_rank_252,high,0.35,1277,84.39653815892997,98,138.74157303370785,75,True
cma_63d_conservative_short_1200,1,cma_63d_rank_252,high,0.25,1077,71.17859952793076,49,69.37078651685393,95,True
cma_63d_conservative_short_1200,2,cma_63d_rank_252,high,0.3,1260,83.27301337529504,56,79.28089887640449,107,True
cma_63d_conservative_short_1200,3,cma_63d_rank_252,high,0.35,1429,94.44217151848937,63,89.19101123595505,124,True
hml_63d_extreme_two_sided_1330,1,hml_63d_rank_252,two_sided,0.25,2003,132.37765538945712,69,97.68539325842696,164,True
hml_63d_extreme_two_sided_1330,2,hml_63d_rank_252,two_sided,0.3,2343,154.84815106215578,99,140.1573033707865,188,True
hml_63d_extreme_two_sided_1330,3,hml_63d_rank_252,two_sided,0.35,2691,177.8473642800944,131,185.46067415730337,204,True
