variant,setup_mode,entry.params.ratio_rank_threshold,entry.params.change_rank_threshold,full_signals,full_signals_per_year,limited_signals,limited_signals_per_year,latest_252_signals,verdict
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.55,0.55,811,52.52087765957447,67,44.98483455882353,56,PASS
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.55,0.65,622,40.28111702127659,51,34.2421875,43,PASS
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.55,0.75,459,29.725132978723405,42,28.199448529411764,35,PASS
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.65,0.55,811,52.52087765957447,67,44.98483455882353,56,PASS
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.65,0.65,622,40.28111702127659,51,34.2421875,43,PASS
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.65,0.75,459,29.725132978723405,42,28.199448529411764,35,PASS
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.75,0.55,811,52.52087765957447,67,44.98483455882353,56,PASS
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.75,0.65,622,40.28111702127659,51,34.2421875,43,PASS
gp_falling_morning_strength_long_1130,gp_falling_morning_strength_long,0.75,0.75,459,29.725132978723405,42,28.199448529411764,35,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.55,0.55,738,47.79335106382979,65,43.64200367647059,49,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.55,0.65,593,38.403058510638296,49,32.89935661764706,40,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.55,0.75,440,28.49468085106383,37,24.842371323529413,28,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.65,0.55,738,47.79335106382979,65,43.64200367647059,49,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.65,0.65,593,38.403058510638296,49,32.89935661764706,40,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.65,0.75,440,28.49468085106383,37,24.842371323529413,28,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.75,0.55,738,47.79335106382979,65,43.64200367647059,49,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.75,0.65,593,38.403058510638296,49,32.89935661764706,40,PASS
gp_rising_morning_weakness_short_1130,gp_rising_morning_weakness_short,0.75,0.75,440,28.49468085106383,37,24.842371323529413,28,PASS
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.55,0.55,2490,161.25398936170214,303,203.43887867647058,6,PASS
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.55,0.65,2490,161.25398936170214,303,203.43887867647058,6,PASS
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.55,0.75,2490,161.25398936170214,303,203.43887867647058,6,PASS
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.65,0.55,2221,143.83337765957447,259,173.89659926470588,1,FAIL
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.65,0.65,2221,143.83337765957447,259,173.89659926470588,1,FAIL
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.65,0.75,2221,143.83337765957447,259,173.89659926470588,1,FAIL
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.75,0.55,1959,126.86609042553192,235,157.78262867647058,0,FAIL
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.75,0.65,1959,126.86609042553192,235,157.78262867647058,0,FAIL
high_gp_risk_premium_long_1000,high_gp_risk_premium_long,0.75,0.75,1959,126.86609042553192,235,157.78262867647058,0,FAIL
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.55,0.55,2490,161.25398936170214,303,203.43887867647058,6,PASS
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.55,0.65,2490,161.25398936170214,303,203.43887867647058,6,PASS
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.55,0.75,2490,161.25398936170214,303,203.43887867647058,6,PASS
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.65,0.55,2221,143.83337765957447,259,173.89659926470588,1,FAIL
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.65,0.65,2221,143.83337765957447,259,173.89659926470588,1,FAIL
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.65,0.75,2221,143.83337765957447,259,173.89659926470588,1,FAIL
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.75,0.55,1959,126.86609042553192,235,157.78262867647058,0,FAIL
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.75,0.65,1959,126.86609042553192,235,157.78262867647058,0,FAIL
high_gp_risk_premium_long_1430,high_gp_risk_premium_long,0.75,0.75,1959,126.86609042553192,235,157.78262867647058,0,FAIL
low_gp_complacency_short_1000,low_gp_complacency_short,0.55,0.55,1154,74.73377659574469,35,23.49954044117647,245,PASS
low_gp_complacency_short_1000,low_gp_complacency_short,0.55,0.65,1154,74.73377659574469,35,23.49954044117647,245,PASS
low_gp_complacency_short_1000,low_gp_complacency_short,0.55,0.75,1154,74.73377659574469,35,23.49954044117647,245,PASS
low_gp_complacency_short_1000,low_gp_complacency_short,0.65,0.55,970,62.817819148936174,19,12.75689338235294,225,PASS
low_gp_complacency_short_1000,low_gp_complacency_short,0.65,0.65,970,62.817819148936174,19,12.75689338235294,225,PASS
low_gp_complacency_short_1000,low_gp_complacency_short,0.65,0.75,970,62.817819148936174,19,12.75689338235294,225,PASS
low_gp_complacency_short_1000,low_gp_complacency_short,0.75,0.55,740,47.922872340425535,0,0.0,177,FAIL
low_gp_complacency_short_1000,low_gp_complacency_short,0.75,0.65,740,47.922872340425535,0,0.0,177,FAIL
low_gp_complacency_short_1000,low_gp_complacency_short,0.75,0.75,740,47.922872340425535,0,0.0,177,FAIL
