variant_id,setup_mode,direction,threshold_name,threshold,rank_column,window,start_date,end_date,signals,signals_per_year,density_pass
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.55,total_permits_change_3m_rank_120m,full,2011-01-03,2026-06-12,1894,122.67840042560738,True
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.55,total_permits_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,218,189.58214285714286,True
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.55,total_permits_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,119,119.40865384615384,True
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.6,total_permits_change_3m_rank_120m,full,2011-01-03,2026-06-12,1651,106.93877460542649,True
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.6,total_permits_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,218,189.58214285714286,True
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.6,total_permits_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,100,100.34340659340658,True
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.65,total_permits_change_3m_rank_120m,full,2011-01-03,2026-06-12,1364,88.34917538570669,True
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.65,total_permits_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,198,172.18928571428572,True
permits_3m_strength_long_1000,permits_3m_strength_long,long,rank_min,0.65,total_permits_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,81,81.27815934065934,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.5,total_starts_change_3m_rank_120m,full,2011-01-03,2026-06-12,1700,110.11260861854939,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.5,total_starts_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,61,53.04821428571429,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.5,total_starts_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,102,102.35027472527472,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.55,total_starts_change_3m_rank_120m,full,2011-01-03,2026-06-12,1859,120.41137613051959,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.55,total_starts_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,75,65.22321428571429,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.55,total_starts_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,182,182.625,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.6,total_starts_change_3m_rank_120m,full,2011-01-03,2026-06-12,2068,133.94874977832947,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.6,total_starts_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,75,65.22321428571429,True
starts_3m_weakness_short_1030,starts_3m_weakness_short,short,rank_max,0.6,total_starts_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,183,183.62843406593404,True
single_family_permits_strength_long_1130,single_family_permits_strength_long,long,rank_min,0.45,single_family_permits_change_3m_rank_120m,full,2011-01-03,2026-06-12,2406,155.84172725660576,True
single_family_permits_strength_long_1130,single_family_permits_strength_long,long,rank_min,0.45,single_family_permits_change_3m_rank_120m,limited_core_proxy,2011-02-10,2012-04-05,217,188.7125,True
single_family_permits_strength_long_1130,single_family_permits_strength_long,long,rank_min,0.45,single_family_permits_change_3m_rank_120m,latest_year_proxy,2025-06-13,2026-06-12,81,81.27815934065934,True
