campaign_id,variant_id,entry_time,share_mode,lookback_minutes,trend_lookback_minutes,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,signals,signals_per_year,start_date,end_date
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.35,12,12,550,77.4431,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.35,16,12,537,75.6127,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.35,20,12,520,73.219,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.45,12,12,501,70.5437,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.45,16,12,491,69.1356,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.45,20,12,478,67.3051,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.55,12,12,442,62.2361,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.55,16,12,435,61.2505,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_trade_trend_pullback_reversal_1030,10:30:00,trade,15,30,0.55,20,12,423,59.5608,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.35,12,12,548,77.1615,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.35,16,12,538,75.7535,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.35,20,12,523,73.6414,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.45,12,12,498,70.1212,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.45,16,12,488,68.7132,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.45,20,12,476,67.0235,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.55,12,12,441,62.0953,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.55,16,12,435,61.2505,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,morning_notional_trend_pullback_reversal_1030,10:30:00,notional,15,30,0.55,20,12,423,59.5608,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.35,12,24,521,73.3598,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.35,16,24,514,72.3741,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.35,20,24,509,71.6701,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.45,12,24,472,66.4603,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.45,16,24,466,65.6155,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.45,20,24,461,64.9114,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.55,12,24,413,58.1528,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.55,16,24,408,57.4487,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,midday_notional_trend_pullback_reversal_1200,12:00:00,notional,60,60,0.55,20,24,404,56.8855,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.35,12,24,536,75.4719,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.35,16,24,528,74.3454,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.35,20,24,521,73.3598,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.45,12,24,475,66.8827,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.45,16,24,468,65.8971,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.45,20,24,462,65.0522,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.55,12,24,421,59.2792,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.55,16,24,416,58.5752,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,early_afternoon_notional_trend_pullback_reversal_1300,13:00:00,notional,60,120,0.55,20,24,411,57.8711,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.35,12,24,511,71.9517,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.35,16,24,500,70.4029,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.35,20,24,492,69.2764,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.45,12,24,447,62.9402,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.45,16,24,437,61.5321,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.45,20,24,430,60.5465,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.55,12,24,377,53.0838,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.55,16,24,368,51.8165,2019-05-06,2026-06-12
nq_mes_crowding_trend_pullback_reversion,afternoon_notional_trend_pullback_reversal_1400,14:00:00,notional,60,120,0.55,20,24,364,51.2533,2019-05-06,2026-06-12
