variant_id,rank_column,direction_mode,rank_min_threshold,rank_max_threshold,window,window_start,window_end,sessions,signals,signals_per_year,density_pass
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.6,0.4,full,2011-01-03,2026-06-12,3813,1516,100.19197482297403,True
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,151,102.56603773584905,True
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,106,106.0,True
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.65,0.35,full,2011-01-03,2026-06-12,3813,1326,87.63493312352477,True
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,131,88.98113207547169,True
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,97,97.0,True
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.7,0.30000000000000004,full,2011-01-03,2026-06-12,3813,1144,75.6066089693155,True
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.7,0.30000000000000004,limited_core,2011-02-22,2012-09-07,371,114,77.43396226415094,True
nikkei_1d_strength_long_1000,nikkei_return_1d_rank_252,high_long,0.7,0.30000000000000004,latest_252,2025-06-09,2026-06-12,252,92,92.0,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.6,0.4,full,2011-01-03,2026-06-12,3813,1512,99.92761605035405,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,143,97.1320754716981,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,104,104.0,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.65,0.35,full,2011-01-03,2026-06-12,3813,1348,89.0889063729347,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,130,88.30188679245282,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,95,95.0,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.7,0.30000000000000004,full,2011-01-03,2026-06-12,3813,1135,75.01180173092054,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.7,0.30000000000000004,limited_core,2011-02-22,2012-09-07,371,112,76.0754716981132,True
nikkei_1d_weakness_short_1000,nikkei_return_1d_rank_252,low_short,0.7,0.30000000000000004,latest_252,2025-06-09,2026-06-12,252,78,78.0,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.6,0.4,full,2011-01-03,2026-06-12,3813,1543,101.97639653815892,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,143,97.1320754716981,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,119,119.0,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.65,0.35,full,2011-01-03,2026-06-12,3813,1386,91.60031471282454,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,130,88.30188679245282,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,112,112.0,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.7,0.30000000000000004,full,2011-01-03,2026-06-12,3813,1173,77.52321007081038,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.7,0.30000000000000004,limited_core,2011-02-22,2012-09-07,371,113,76.75471698113208,True
nikkei_5d_strength_long_1030,nikkei_return_5d_rank_252,high_long,0.7,0.30000000000000004,latest_252,2025-06-09,2026-06-12,252,95,95.0,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.6,0.4,full,2011-01-03,2026-06-12,3813,1487,98.27537372147914,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,159,107.99999999999999,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,85,85.0,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.65,0.35,full,2011-01-03,2026-06-12,3813,1317,87.04012588512981,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,145,98.49056603773585,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,74,74.0,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.7,0.30000000000000004,full,2011-01-03,2026-06-12,3813,1139,75.27616050354052,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.7,0.30000000000000004,limited_core,2011-02-22,2012-09-07,371,120,81.50943396226414,True
nikkei_5d_weakness_short_1030,nikkei_return_5d_rank_252,low_short,0.7,0.30000000000000004,latest_252,2025-06-09,2026-06-12,252,65,65.0,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.6,0.4,full,2011-01-03,2026-06-12,3813,1548,102.3068450039339,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.6,0.4,limited_core,2011-02-22,2012-09-07,371,145,98.49056603773585,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.6,0.4,latest_252,2025-06-09,2026-06-12,252,121,121.0,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.65,0.35,full,2011-01-03,2026-06-12,3813,1366,90.27852084972463,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.65,0.35,limited_core,2011-02-22,2012-09-07,371,128,86.94339622641509,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.65,0.35,latest_252,2025-06-09,2026-06-12,252,109,109.0,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.7,0.30000000000000004,full,2011-01-03,2026-06-12,3813,1163,76.86231313926042,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.7,0.30000000000000004,limited_core,2011-02-22,2012-09-07,371,114,77.43396226415094,True
nikkei_1d_volatility_short_1130,nikkei_abs_return_1d_rank_252,high_short,0.7,0.30000000000000004,latest_252,2025-06-09,2026-06-12,252,98,98.0,True
