campaign_id,variant_id,window,sessions,years,share_rank_min,min_opening_drive_ticks,signals,signal_sessions,signals_per_year,long_signals,short_signals,passes_50_signals_per_year
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.45,2,921,921,131.870455,463,458,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.45,4,907,907,129.865909,456,451,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.45,6,901,901,129.006818,453,448,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.55,2,834,834,119.413636,423,411,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.55,4,822,822,117.695455,418,404,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.55,6,816,816,116.836364,415,401,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.65,2,720,720,103.090909,372,348,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.65,4,710,710,101.659091,369,341,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,full_history,1760,6.984127,0.65,6,704,704,100.8,366,338,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.45,2,98,98,138.741573,47,51,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.45,4,95,95,134.494382,45,50,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.45,6,95,95,134.494382,45,50,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.55,2,91,91,128.831461,45,46,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.55,4,88,88,124.58427,43,45,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.55,6,88,88,124.58427,43,45,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.65,2,80,80,113.258427,40,40,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.65,4,77,77,109.011236,38,39,True
nq_opening_drive_mes_crowding_reversal,od15_notional_failed_extension_reversal_1130,limited_core,178,0.706349,0.65,6,77,77,109.011236,38,39,True
nq_opening_drive_mes_crowding_reversal,od15_trade_failed_extension_reversal_1130,full_history,1760,6.984127,0.45,2,922,922,132.013636,464,458,True
