campaign_id,variant_id,source_variant,flow_mode,orderflow_window_minutes,consume_unconfirmed_base_signal,min_orderflow_imbalance,share_rank_min,min_abs_return_ticks,signals,signals_per_year,long_signals,short_signals,first_signal,last_signal
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.45,1,529,74.45751445086705,275,254,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.45,2,523,73.61300578034682,272,251,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.45,3,521,73.33150289017341,270,251,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.55,1,471,66.29393063583815,242,229,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.55,2,465,65.44942196531791,239,226,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.55,3,464,65.30867052023122,238,226,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.65,1,391,55.033815028901735,192,199,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.65,2,387,54.470809248554914,189,198,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large10_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large10_imbalance,30,False,0.0,0.65,3,387,54.470809248554914,189,198,2019-08-09 11:15:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large20_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large20_imbalance,30,False,0.0,0.45,1,502,70.65722543352601,257,245,2019-08-07 11:57:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large20_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large20_imbalance,30,False,0.0,0.45,2,499,70.23497109826589,256,243,2019-08-07 11:57:00,2026-06-12 10:38:00
nq_pivot_mes_orderflow_confirmation,late_morning_trade_large20_first_confirmed_reversal_window_1200,late_morning_trade_two_sided_reversal_window_1200,large20_imbalance,30,False,0.0,0.45,3,498,70.0942196531792,255,243,2019-08-07 11:57:00,2026-06-12 10:38:00
