variant_id,rank_column,rank_min_threshold,window,window_start,window_end,sessions,signals,signals_per_year,density_pass
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.5,full,2011-01-03,2026-06-12,3813,2041,134.88906372934696,True
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.5,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.5,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.55,full,2011-01-03,2026-06-12,3813,1916,126.62785208497246,True
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.55,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.55,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.6,full,2011-01-03,2026-06-12,3813,1608,106.27222659323367,True
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.6,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
strong_ci_large_demand_long_1000,ci_large_demand_rank_80q,0.6,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.5,full,2011-01-03,2026-06-12,3813,2162,142.88591660110148,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.5,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.5,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.55,full,2011-01-03,2026-06-12,3813,1672,110.50196695515342,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.55,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.55,latest_252,2025-06-09,2026-06-12,252,67,67.0,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.6,full,2011-01-03,2026-06-12,3813,1423,94.0456333595594,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.6,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
strong_ci_small_demand_long_1030,ci_small_demand_rank_80q,0.6,latest_252,2025-06-09,2026-06-12,252,67,67.0,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.5,full,2011-01-03,2026-06-12,3813,2100,138.78835562549173,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.5,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.5,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.55,full,2011-01-03,2026-06-12,3813,1798,118.82926829268293,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.55,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.55,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.6,full,2011-01-03,2026-06-12,3813,1548,102.3068450039339,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.6,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
broad_ci_demand_average_long_1130,ci_demand_rank_average_80q,0.6,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.5,full,2011-01-03,2026-06-12,3813,2225,147.04956726986623,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.5,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.5,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.55,full,2011-01-03,2026-06-12,3813,2038,134.69079464988198,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.55,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.55,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.6,full,2011-01-03,2026-06-12,3813,1730,114.33516915814319,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.6,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
either_ci_demand_strength_long_1200,ci_demand_rank_max_80q,0.6,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.5,full,2011-01-03,2026-06-12,3813,1978,130.7254130605822,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.5,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.5,latest_252,2025-06-09,2026-06-12,252,128,128.0,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.55,full,2011-01-03,2026-06-12,3813,1550,102.4390243902439,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.55,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.55,latest_252,2025-06-09,2026-06-12,252,67,67.0,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.6,full,2011-01-03,2026-06-12,3813,1301,85.98269079464988,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.6,limited_core,2011-02-22,2012-09-07,371,298,202.41509433962264,True
confirmed_ci_demand_strength_long_1330,ci_demand_rank_min_80q,0.6,latest_252,2025-06-09,2026-06-12,252,67,67.0,True
