campaign_id,variant_id,rank_mode,flow_mode,rate_rank_threshold,min_orderflow_imbalance,full_signals,full_signals_per_year,limited_core_start,limited_core_end,limited_core_signals,limited_core_signals_per_year,latest_252_signals,density_gate_pass
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.65,0.0,1627,107.5279307631786,2011-02-22,2012-09-07,132,89.66037735849056,95,True
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.65,0.02,786,51.94649881982691,2011-02-22,2012-09-07,96,65.20754716981132,39,False
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.65,0.04,282,18.63729346970889,2011-02-22,2012-09-07,58,39.39622641509434,7,False
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.7,0.0,1373,90.74114870180959,2011-02-22,2012-09-07,115,78.11320754716981,72,True
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.7,0.02,664,43.88355625491739,2011-02-22,2012-09-07,82,55.698113207547166,30,False
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.7,0.04,229,15.1345397324941,2011-02-22,2012-09-07,50,33.96226415094339,5,False
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.75,0.0,1154,76.26750590086546,2011-02-22,2012-09-07,104,70.64150943396226,62,True
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.75,0.02,550,36.34933123524784,2011-02-22,2012-09-07,74,50.264150943396224,28,False
nq_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,curve_1d,signed_volume,0.75,0.04,185,12.226593233674272,2011-02-22,2012-09-07,43,29.20754716981132,5,False
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.65,0.0,1452,95.96223446105428,2011-02-22,2012-09-07,121,82.18867924528301,92,True
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.65,0.02,1362,90.01416207710464,2011-02-22,2012-09-07,111,75.39622641509433,85,True
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.65,0.04,1248,82.4799370574351,2011-02-22,2012-09-07,100,67.92452830188678,77,True
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.7,0.0,1248,82.4799370574351,2011-02-22,2012-09-07,103,69.9622641509434,83,True
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.7,0.02,1173,77.52321007081038,2011-02-22,2012-09-07,97,65.88679245283018,77,True
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.7,0.04,1075,71.04642014162077,2011-02-22,2012-09-07,87,59.094339622641506,72,True
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.75,0.0,1031,68.13847364280095,2011-02-22,2012-09-07,81,55.0188679245283,69,True
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.75,0.02,970,64.10700236034619,2011-02-22,2012-09-07,75,50.94339622641509,64,True
nq_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,dgs10_1d,large10,0.75,0.04,883,58.35719905586152,2011-02-22,2012-09-07,67,45.50943396226415,59,False
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.65,0.0,1638,108.25491738788355,2011-02-22,2012-09-07,131,88.98113207547169,99,True
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.65,0.02,782,51.68214004720692,2011-02-22,2012-09-07,97,65.88679245283018,35,False
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.65,0.04,278,18.372934697088905,2011-02-22,2012-09-07,57,38.71698113207547,9,False
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.7,0.0,1409,93.12037765538946,2011-02-22,2012-09-07,113,76.75471698113208,89,True
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.7,0.02,652,43.09047993705743,2011-02-22,2012-09-07,82,55.698113207547166,31,False
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.7,0.04,230,15.200629425649094,2011-02-22,2012-09-07,50,33.96226415094339,6,False
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.75,0.0,1164,76.92840283241541,2011-02-22,2012-09-07,89,60.45283018867924,73,True
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.75,0.02,532,35.159716758457904,2011-02-22,2012-09-07,62,42.11320754716981,24,False
nq_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,dgs10_1d,signed_volume,0.75,0.04,183,12.09441384736428,2011-02-22,2012-09-07,35,23.773584905660375,4,False
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.65,0.0,1657,109.51062155782847,2011-02-22,2012-09-07,139,94.41509433962264,113,True
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.65,0.02,805,53.202202989771834,2011-02-22,2012-09-07,103,69.9622641509434,41,False
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.65,0.04,281,18.571203776553894,2011-02-22,2012-09-07,59,40.075471698113205,10,False
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.7,0.0,1441,95.23524783634933,2011-02-22,2012-09-07,121,82.18867924528301,93,True
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.7,0.02,701,46.32887490165224,2011-02-22,2012-09-07,90,61.13207547169811,36,False
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.7,0.04,243,16.059795436664043,2011-02-22,2012-09-07,52,35.32075471698113,7,False
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.75,0.0,1188,78.51455546813533,2011-02-22,2012-09-07,91,61.811320754716974,74,True
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.75,0.02,560,37.010228166797795,2011-02-22,2012-09-07,69,46.867924528301884,26,False
nq_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,dgs10_5d,signed_volume,0.75,0.04,183,12.09441384736428,2011-02-22,2012-09-07,41,27.849056603773583,3,False
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.65,0.0,1594,105.34697088906373,2011-02-22,2012-09-07,106,72.0,109,True
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.65,0.02,764,50.492525570416994,2011-02-22,2012-09-07,84,57.056603773584904,37,False
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.65,0.04,272,17.97639653815893,2011-02-22,2012-09-07,43,29.20754716981132,13,False
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.7,0.0,1436,94.90479937057435,2011-02-22,2012-09-07,86,58.41509433962264,96,True
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.7,0.02,682,45.073170731707314,2011-02-22,2012-09-07,70,47.54716981132075,32,False
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.7,0.04,247,16.32415420928403,2011-02-22,2012-09-07,37,25.132075471698112,11,False
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.75,0.0,1196,79.0432730133753,2011-02-22,2012-09-07,68,46.18867924528302,76,False
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.75,0.02,567,37.472856018882766,2011-02-22,2012-09-07,56,38.0377358490566,24,False
nq_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,dgs2_1d,signed_volume,0.75,0.04,205,13.548387096774194,2011-02-22,2012-09-07,28,19.0188679245283,8,False
