year,n,net,pf,cagr,mar,max_dd,max_dd_pct,worst_day,positive_month_rate,expectancy_ticks,early_net,mid_net,late_net,holdout_net
2011,37,-1860.0,0.6555555555555556,-0.016087745109215623,-0.9789702906216403,2465.0,0.016433333333333335,-1055.0,0.4,-1.6216216216216217,-1860.0,0.0,0.0,0.0
2012,73,-365.0,0.9430577223088924,-0.002455152718225495,-0.262583178419839,1402.5,0.00935,-442.5,0.5,2.0,-365.0,0.0,0.0,0.0
2013,76,2632.5,1.509433962264151,0.018321642146113648,2.481486520918327,1107.5,0.007383333333333334,-380.0,0.6363636363636364,5.171052631578948,2632.5,0.0,0.0,0.0
2014,52,2277.5,1.4953779227841217,0.015804596861891396,1.7925818746946762,1322.5,0.008816666666666667,-630.0,0.5454545454545454,5.903846153846154,2277.5,0.0,0.0,0.0
2015,40,3587.5,1.8907510862818124,0.026025568204425698,3.2805338072805497,1190.0,0.007933333333333334,-1135.0,0.6666666666666666,9.575,0.0,3587.5,0.0,0.0
2016,70,-1437.5,0.8423793859649122,-0.009998798463711434,-0.4742513105317676,3162.5,0.021083333333333332,-1617.5,0.3333333333333333,0.7571428571428571,0.0,-1437.5,0.0,0.0
2017,58,-1077.5,0.7285894206549118,-0.0076033568998257195,-0.5392451702004056,2115.0,0.0141,-817.5,0.3333333333333333,0.9137931034482759,0.0,-1077.5,0.0,0.0
2018,73,6097.5,1.5204865556978233,0.04245826890280302,2.270495663251498,2805.0,0.0187,-1442.5,0.5833333333333334,9.082191780821917,0.0,6097.5,0.0,0.0
2019,69,4080.0,1.6766169154228856,0.030335434921719973,1.6222157712149716,2805.0,0.0187,-567.5,0.6363636363636364,7.130434782608695,0.0,4080.0,0.0,0.0
2020,76,5670.0,1.3126550868486353,0.038361691724782654,1.3115108281976975,4387.5,0.02925,-2192.5,0.6363636363636364,8.368421052631579,0.0,0.0,5670.0,0.0
2021,87,9290.0,1.4541121837956739,0.06340902305536433,1.6100471364036648,5907.5,0.03938333333333333,-2130.0,0.5833333333333334,10.942528735632184,0.0,0.0,9290.0,0.0
2022,78,36310.0,2.317369614512472,0.25304604210095594,9.852538952665384,3852.5,0.025683333333333332,-3742.5,0.9090909090909091,39.64102564102564,0.0,0.0,36310.0,0.0
2023,93,17285.0,1.7813312238671035,0.12054560010612092,3.8906594977768987,4647.5,0.030983333333333335,-2685.0,0.6666666666666666,17.268817204301076,0.0,0.0,17285.0,0.0
2024,70,22862.5,2.164078411405295,0.16154817942562416,8.063969022909692,3005.0,0.020033333333333334,-3005.0,0.75,28.52857142857143,0.0,0.0,18517.5,4345.0
2025,104,41280.0,2.308606752258678,0.27712296692245864,9.161089815618467,4537.5,0.03025,-3047.5,0.75,34.15384615384615,0.0,0.0,0.0,41280.0
2026,32,9415.0,1.9658886894075405,0.15110988717920448,3.8912417299365964,5825.0,0.03883333333333333,-2180.0,0.5,25.9375,0.0,0.0,0.0,9415.0
