month,count,sum
2011-03,3,85.0
2011-04,1,-117.5
2011-05,3,122.5
2011-06,12,-697.5
2011-07,3,-315.0
2011-08,2,152.5
2011-09,4,705.0
2011-10,3,-990.0
2011-11,2,-647.5
2011-12,4,-157.5
2012-01,10,225.0
2012-02,8,-40.0
2012-03,12,2.5
2012-04,5,-200.0
2012-05,8,-165.0
2012-06,8,72.5
2012-07,3,35.0
2012-08,2,440.0
2012-09,4,-520.0
2012-10,1,570.0
2012-11,7,-247.5
2012-12,5,-537.5
2013-01,15,-400.0
2013-02,10,362.5
2013-03,3,-315.0
2013-04,7,102.5
2013-05,10,562.5
2013-06,5,1362.5
2013-08,4,-145.0
2013-09,5,362.5
2013-10,8,-1002.5
2013-11,5,250.0
2013-12,4,1492.5
2014-01,3,547.5
2014-02,1,-92.5
2014-03,3,185.0
2014-04,2,1165.0
2014-05,7,577.5
2014-06,10,-762.5
2014-07,8,-140.0
2014-08,3,-365.0
2014-09,4,542.5
2014-10,6,-117.5
2014-12,5,737.5
2015-01,3,122.5
2015-02,2,702.5
2015-03,9,1830.0
2015-04,2,-222.5
2015-05,1,-292.5
2015-06,5,100.0
2015-07,9,480.0
2015-08,5,1700.0
2015-12,4,-832.5
2016-01,6,-1342.5
2016-02,2,902.5
2016-03,11,-130.0
2016-04,11,-1130.0
2016-05,10,-1025.0
2016-06,6,1220.0
2016-07,7,-335.0
2016-08,10,-12.5
2016-09,2,202.5
2016-10,1,-255.0
2016-11,1,-30.0
2016-12,3,497.5
2017-01,11,320.0
2017-02,10,-237.5
2017-03,1,282.5
2017-04,3,-65.0
2017-05,4,130.0
2017-06,4,-170.0
2017-07,4,142.5
2017-08,5,-212.5
2017-09,5,-275.0
2017-10,6,-630.0
2017-11,2,-172.5
2017-12,3,-190.0
2018-01,6,-455.0
2018-02,5,962.5
2018-03,3,247.5
2018-04,5,-587.5
2018-05,6,595.0
2018-06,6,-130.0
2018-07,5,125.0
2018-08,10,-1962.5
2018-09,9,-382.5
2018-10,10,5100.0
2018-11,5,487.5
2018-12,3,2097.5
2019-02,9,-757.5
2019-03,6,-1142.5
2019-04,10,-250.0
2019-05,6,1345.0
2019-06,3,510.0
2019-07,9,142.5
2019-08,6,1395.0
2019-09,4,5.0
2019-10,3,2310.0
2019-11,7,-360.0
2019-12,6,882.5
2020-01,11,82.5
2020-02,12,1915.0
2020-03,4,630.0
2020-05,6,2870.0
2020-06,7,390.0
2020-07,10,700.0
2020-08,11,-1180.0
2020-09,6,3145.0
2020-10,1,-42.5
2020-11,4,-2495.0
2020-12,4,-345.0
2021-01,7,3690.0
2021-02,11,-2405.0
2021-03,7,-1860.0
2021-04,9,430.0
2021-05,7,1677.5
2021-06,3,-1152.5
2021-07,9,1167.5
2021-08,9,-145.0
2021-09,7,3402.5
2021-10,8,-2090.0
2021-11,3,1247.5
2021-12,7,5327.5
2022-01,10,3425.0
2022-02,3,1947.5
2022-04,11,4295.0
2022-05,10,6862.5
2022-06,4,-1607.5
2022-07,8,3547.5
2022-08,7,3465.0
2022-09,13,3847.5
2022-10,4,3417.5
2022-11,5,4437.5
2022-12,3,2672.5
2023-01,8,-4927.5
2023-02,10,7025.0
2023-03,10,-87.5
2023-04,6,557.5
2023-05,3,185.0
2023-06,5,1125.0
2023-07,5,1350.0
2023-08,5,1962.5
2023-09,9,-1282.5
2023-10,10,6662.5
2023-11,15,-612.5
2023-12,7,5327.5
2024-01,2,390.0
2024-02,6,-1430.0
2024-03,6,3082.5
2024-04,9,-2282.5
2024-05,7,402.5
2024-06,2,-410.0
2024-07,10,2662.5
2024-08,11,6207.5
2024-09,3,4622.5
2024-10,5,2712.5
2024-11,3,2560.0
2024-12,6,4345.0
2025-01,13,3197.5
2025-02,8,1872.5
2025-03,9,4267.5
2025-04,5,15637.5
2025-05,6,620.0
2025-06,4,992.5
2025-07,8,1810.0
2025-08,14,-357.5
2025-09,11,1907.5
2025-10,6,-405.0
2025-11,10,12100.0
2025-12,10,-362.5
2026-01,6,1232.5
2026-02,4,-245.0
2026-03,5,-612.5
2026-04,7,4927.5
2026-05,5,-875.0
2026-06,5,4987.5
