n,net,pf,cagr,mar,max_dd,max_dd_pct,worst_day,positive_month_rate,expectancy_ticks,early_net,mid_net,late_net,holdout_net,stop_exits,target_exits,time_exits,stop_pct,target_r,acceptance_shaped
1088,158835.0,1.7723653338844383,0.048468545007267716,1.2306867119915628,5907.5,0.03938333333333333,-3742.5,0.5909090909090909,14.079044117647058,2685.0,11250.0,90297.5,54602.5,0,2,1086,0.03,1.0,True
1088,156047.5,1.7588105860756877,0.04784569529002236,1.2148716535765305,5907.5,0.03938333333333333,-3742.5,0.5909090909090909,13.874080882352942,2685.0,11250.0,87072.5,55040.0,0,0,1088,0.03,1.5,True
1088,156047.5,1.7588105860756877,0.04784569529002236,1.2148716535765305,5907.5,0.03938333333333333,-3742.5,0.5909090909090909,13.874080882352942,2685.0,11250.0,87072.5,55040.0,0,0,1088,0.03,2.0,True
1088,156047.5,1.7588105860756877,0.04784569529002236,1.2148716535765305,5907.5,0.03938333333333333,-3742.5,0.5909090909090909,13.874080882352942,2685.0,11250.0,87072.5,55040.0,0,0,1088,0.03,3.0,True
1088,156047.5,1.7588105860756877,0.04784569529002236,1.2148716535765305,5907.5,0.03938333333333333,-3742.5,0.5909090909090909,13.874080882352942,2685.0,11250.0,87072.5,55040.0,0,0,1088,0.03,4.0,True
1088,156047.5,1.7588105860756877,0.04784569529002236,1.2148716535765305,5907.5,0.03938333333333333,-3742.5,0.5909090909090909,13.874080882352942,2685.0,11250.0,87072.5,55040.0,0,0,1088,0.03,6.0,True
1088,156047.5,1.7588105860756877,0.04784569529002236,1.2148716535765305,5907.5,0.03938333333333333,-3742.5,0.5909090909090909,13.874080882352942,2685.0,11250.0,87072.5,55040.0,0,0,1088,0.03,10.0,True
1088,155872.5,1.7509575313757135,0.04780641598606383,1.21387429503336,5907.5,0.03938333333333333,-3080.0,0.5852272727272727,13.861213235294118,2910.0,11450.0,89860.0,51652.5,6,10,1072,0.015,1.5,True
1088,154385.0,1.7437911015826368,0.0474716914393698,1.1682942930115618,6095.0,0.040633333333333334,-3080.0,0.5852272727272727,13.751838235294118,2910.0,11437.5,85422.5,54615.0,6,2,1080,0.015,2.0,True
1088,151597.5,1.7303615734830053,0.04684029750701124,1.152755475972385,6095.0,0.040633333333333334,-3080.0,0.5852272727272727,13.546875,2910.0,11437.5,82210.0,55040.0,6,0,1082,0.015,3.0,True
1088,151597.5,1.7303615734830053,0.04684029750701124,1.152755475972385,6095.0,0.040633333333333334,-3080.0,0.5852272727272727,13.546875,2910.0,11437.5,82210.0,55040.0,6,0,1082,0.015,4.0,True
1088,151597.5,1.7303615734830053,0.04684029750701124,1.152755475972385,6095.0,0.040633333333333334,-3080.0,0.5852272727272727,13.546875,2910.0,11437.5,82210.0,55040.0,6,0,1082,0.015,6.0,True
1088,151597.5,1.7303615734830053,0.04684029750701124,1.152755475972385,6095.0,0.040633333333333334,-3080.0,0.5852272727272727,13.546875,2910.0,11437.5,82210.0,55040.0,6,0,1082,0.015,10.0,True
1088,146447.5,1.6961921513631717,0.04565929554683845,1.1410069691005027,6002.5,0.040016666666666666,-3317.5,0.5738636363636364,13.168198529411764,2847.5,9550.0,79122.5,54927.5,29,1,1058,0.01,4.0,True
1088,146197.5,1.7051439733757778,0.0456014786494392,0.9813804587397245,6970.0,0.04646666666666667,-3080.0,0.5909090909090909,13.149816176470589,3685.0,12837.5,84072.5,45602.5,6,32,1050,0.015,1.0,True
1088,144885.0,1.6887642318937035,0.045297189764412105,1.1319580949040926,6002.5,0.040016666666666666,-3317.5,0.5681818181818182,13.053308823529411,2847.5,9550.0,77985.0,54502.5,29,2,1057,0.01,3.0,True
1088,142085.0,1.6754534002044164,0.04464378753924203,1.1156298427132536,6002.5,0.040016666666666666,-3317.5,0.5681818181818182,12.847426470588236,2847.5,9550.0,74760.0,54927.5,29,0,1059,0.01,6.0,True
1088,142085.0,1.6754534002044164,0.04464378753924203,1.1156298427132536,6002.5,0.040016666666666666,-3317.5,0.5681818181818182,12.847426470588236,2847.5,9550.0,74760.0,54927.5,29,0,1059,0.01,10.0,True
1088,141985.0,1.6749780133583703,0.04462034365144185,1.1150439896237032,6002.5,0.040016666666666666,-3317.5,0.5681818181818182,12.840073529411764,2847.5,9375.0,80510.0,49252.5,29,12,1047,0.01,2.0,True
1088,138060.0,1.6570531125071388,0.04369419293523635,1.0918998651037823,6002.5,0.040016666666666666,-3317.5,0.5738636363636364,12.551470588235293,3622.5,10925.0,78022.5,45490.0,29,30,1029,0.01,1.5,True
1088,134922.5,1.6151154573844857,0.04294534211183865,1.0018353525312282,6430.0,0.042866666666666664,-3160.0,0.5568181818181818,12.320772058823529,1860.0,8612.5,70310.0,54140.0,63,7,1018,0.008,3.0,True
1088,134010.0,1.637861894165665,0.042726102220962625,0.890745703008255,7195.0,0.047966666666666664,-2160.0,0.5625,12.253676470588236,1860.0,9050.0,64722.5,58377.5,143,0,945,0.005,10.0,True
1088,133585.0,1.6358389756892797,0.042623765720829265,0.8886122109971355,7195.0,0.047966666666666664,-2160.0,0.5625,12.222426470588236,1860.0,9050.0,64722.5,57952.5,143,1,944,0.005,6.0,True
1088,133547.5,1.6088467938635482,0.042614729150186825,0.9941227640012479,6430.0,0.042866666666666664,-3160.0,0.5625,12.219669117647058,1860.0,8412.5,66935.0,56340.0,63,2,1023,0.008,4.0,True
1088,132510.0,1.6478439425051334,0.04236427345722382,1.058665725711549,6002.5,0.040016666666666666,-3317.5,0.5909090909090909,12.143382352941176,3022.5,11275.0,78835.0,39377.5,27,73,988,0.01,1.0,True
1088,131922.5,1.627925794590478,0.042222067731178425,0.8802376872379102,7195.0,0.047966666666666664,-2160.0,0.5625,12.100183823529411,1860.0,8875.0,68410.0,52777.5,143,11,934,0.005,4.0,True
1088,130397.5,1.6176171079429735,0.04185164158781163,0.8907763374489881,7047.5,0.046983333333333335,-2497.5,0.5511363636363636,11.988051470588236,2572.5,9025.0,75710.0,43090.0,105,51,932,0.006,2.0,True
1088,130010.0,1.5927192322596821,0.04175721697479262,0.9741185919469508,6430.0,0.042866666666666664,-3160.0,0.5568181818181818,11.959558823529411,1860.0,8412.5,63472.5,56265.0,63,0,1025,0.008,6.0,True
1088,130010.0,1.5927192322596821,0.04175721697479262,0.9741185919469508,6430.0,0.042866666666666664,-3160.0,0.5568181818181818,11.959558823529411,1860.0,8412.5,63472.5,56265.0,63,0,1025,0.008,10.0,True
1088,128310.0,1.5977916511367871,0.04134151880796666,0.9681854521772051,6405.0,0.0427,-3160.0,0.5625,11.834558823529411,2822.5,9825.0,74097.5,41565.0,61,51,976,0.008,1.5,True
1088,125410.0,1.572152014234226,0.04062687924376429,0.9477499045979229,6430.0,0.042866666666666664,-3160.0,0.5568181818181818,11.621323529411764,2847.5,8312.5,66697.5,47552.5,63,25,1000,0.008,2.0,True
1088,124622.5,1.6086866269414868,0.04043160364729803,0.8679414020886876,6987.5,0.04658333333333333,-2160.0,0.5738636363636364,11.563419117647058,2035.0,9162.5,70547.5,42877.5,137,70,881,0.005,2.0,True
1088,124172.5,1.6138189278034554,0.04031978252701052,0.8077418870185746,7487.5,0.049916666666666665,-1835.0,0.5568181818181818,11.530330882352942,1072.5,9962.5,66810.0,46327.5,186,46,856,0.004,3.0,True
1088,159722.5,1.774093101025032,0.04866574913688937,1.2356940110932553,5907.5,0.03938333333333333,-4092.5,0.5909090909090909,14.144301470588236,2635.0,10962.5,91085.0,55040.0,3,1,1084,0.02,2.0,False
1088,158147.5,1.766459883199651,0.04831541690399077,1.2267985671770827,5907.5,0.03938333333333333,-4092.5,0.5909090909090909,14.028492647058824,2635.0,10962.5,89947.5,54602.5,3,2,1083,0.02,1.5,False
1088,155560.0,1.7539195967722394,0.04773622211020001,1.212091970635633,5907.5,0.03938333333333333,-4092.5,0.5909090909090909,13.838235294117647,2635.0,10800.0,92735.0,49390.0,3,13,1072,0.02,1.0,False
1088,155360.0,1.7529502992706036,0.0476912628159083,1.2109503888931434,5907.5,0.03938333333333333,-4092.5,0.5909090909090909,13.823529411764707,2635.0,10962.5,86722.5,55040.0,3,0,1085,0.02,3.0,False
1088,155360.0,1.7529502992706036,0.0476912628159083,1.2109503888931434,5907.5,0.03938333333333333,-4092.5,0.5909090909090909,13.823529411764707,2635.0,10962.5,86722.5,55040.0,3,0,1085,0.02,4.0,False
1088,155360.0,1.7529502992706036,0.0476912628159083,1.2109503888931434,5907.5,0.03938333333333333,-4092.5,0.5909090909090909,13.823529411764707,2635.0,10962.5,86722.5,55040.0,3,0,1085,0.02,6.0,False
1088,155360.0,1.7529502992706036,0.0476912628159083,1.2109503888931434,5907.5,0.03938333333333333,-4092.5,0.5909090909090909,13.823529411764707,2635.0,10962.5,86722.5,55040.0,3,0,1085,0.02,10.0,False
1088,137722.5,1.6402049994770422,0.04361400609023636,0.7973310071341199,8205.0,0.0547,-2497.5,0.5568181818181818,12.526654411764707,1622.5,7850.0,72572.5,55677.5,107,7,974,0.006,4.0,False
1088,136760.0,1.6357308045415984,0.04338484138538967,0.7931415244129739,8205.0,0.0547,-2497.5,0.5568181818181818,12.455882352941176,1622.5,7675.0,69697.5,57765.0,107,1,980,0.006,6.0,False
1088,132822.5,1.6174272798056921,0.04243980224973787,0.7758647577648605,8205.0,0.0547,-2497.5,0.5511363636363636,12.166360294117647,1622.5,7675.0,65760.0,57765.0,107,0,981,0.006,10.0,False
1088,132085.0,1.6324319795070683,0.04226142891400464,0.7906721967072898,8017.5,0.05345,-2160.0,0.5738636363636364,12.112132352941176,2635.0,10425.0,70047.5,48977.5,142,28,918,0.005,3.0,False
1088,131947.5,1.642252184282898,0.04222812467748249,0.8459724476290316,7487.5,0.049916666666666665,-1835.0,0.5568181818181818,12.102022058823529,-302.5,8250.0,66647.5,57352.5,191,6,891,0.004,6.0,False
1088,130847.5,1.6086850337841767,0.04196114307087084,0.7400554333486922,8505.0,0.0567,-2497.5,0.5511363636363636,12.021139705882353,2960.0,7075.0,71047.5,49765.0,107,19,962,0.006,3.0,False
1088,129435.0,1.6300226337949328,0.041616877760255466,0.8337271003723967,7487.5,0.049916666666666665,-1835.0,0.5568181818181818,11.917279411764707,-302.5,8050.0,62322.5,59365.0,191,0,897,0.004,10.0,False
1088,121997.5,1.5945587016911156,0.039776884322570316,0.7968657961115924,7487.5,0.049916666666666665,-1835.0,0.5568181818181818,11.370404411764707,735.0,7975.0,62535.0,50752.5,190,21,877,0.004,4.0,False
1088,117010.0,1.5594348756319998,0.03851648408639652,0.8770356907718373,6587.5,0.043916666666666666,-2497.5,0.5511363636363636,11.003676470588236,1347.5,6725.0,64272.5,44665.0,103,85,900,0.006,1.5,False
1088,109447.5,1.519212979434996,0.036562739980371184,0.7899763769615668,6942.5,0.046283333333333336,-3160.0,0.5681818181818182,10.447610294117647,972.5,7400.0,59685.0,41390.0,59,101,928,0.008,1.0,False
1088,106660.0,1.5247272682548858,0.035829152388751284,0.7691410172898309,6987.5,0.04658333333333333,-2160.0,0.5625,10.242647058823529,1560.0,5662.5,55047.5,44390.0,135,111,842,0.005,1.5,False
1088,105685.0,1.5296498151976445,0.03557080279705427,0.7126037288224562,7487.5,0.049916666666666665,-1835.0,0.5511363636363636,10.170955882352942,-415.0,5937.5,55597.5,44565.0,182,92,814,0.004,2.0,False
1088,104760.0,1.5196170824859878,0.03532484949935566,0.5867915199228515,9030.0,0.0602,-1497.5,0.5397727272727273,10.102941176470589,-902.5,962.5,52847.5,51852.5,286,1,801,0.003,10.0,False
1088,98122.5,1.487189990318016,0.03353508703462049,0.5570612464222674,9030.0,0.0602,-1497.5,0.5397727272727273,9.614889705882353,322.5,937.5,52635.0,44227.5,285,12,791,0.003,6.0,False
1088,96172.5,1.4813378210983346,0.03300077523496636,0.6678065814832991,7412.5,0.049416666666666664,-1497.5,0.5511363636363636,9.471507352941176,472.5,4625.0,52510.0,38565.0,282,40,766,0.003,4.0,False
1088,94635.0,1.4852579222643831,0.03258263574235776,0.6527406158736112,7487.5,0.049916666666666665,-1835.0,0.5511363636363636,9.358455882352942,247.5,3400.0,51697.5,39290.0,176,165,747,0.004,1.5,False
1088,92947.5,1.4526131258902157,0.032114218566615005,0.6395131476923002,7532.5,0.050216666666666666,-2497.5,0.5397727272727273,9.234375,1585.0,2287.5,52135.0,36940.0,100,172,816,0.006,1.0,False
1088,86085.0,1.4338415018268866,0.030171961134918934,0.6105624512968418,7412.5,0.049416666666666664,-1497.5,0.5568181818181818,8.729779411764707,-652.5,3350.0,44885.0,38502.5,279,68,741,0.003,3.0,False
1088,84185.0,1.4329446251558904,0.029631931739046546,0.6076267615662313,7315.0,0.048766666666666666,-2160.0,0.5681818181818182,8.590073529411764,1610.0,1625.0,47172.5,33777.5,127,215,746,0.005,1.0,False
1088,73122.5,1.3763575068197025,0.0263710714484513,0.5158996696795168,7667.5,0.051116666666666664,-1497.5,0.5397727272727273,7.776654411764706,-540.0,-75.0,40347.5,33390.0,272,149,667,0.003,2.0,False
1088,66685.0,1.3618579916976423,0.024403264515400203,0.4775589924735852,7665.0,0.0511,-1635.0,0.5568181818181818,7.303308823529412,472.5,2875.0,34222.5,29115.0,166,270,652,0.004,1.0,False
1088,54585.0,1.2900988520408163,0.02055197010807719,0.3869213073375059,7967.5,0.053116666666666666,-1497.5,0.5397727272727273,6.413602941176471,-740.0,-1062.5,31147.5,25240.0,263,216,609,0.003,1.5,False
1088,42722.5,1.2482026404845246,0.01656380768112453,0.2886518910448655,8607.5,0.057383333333333335,-1485.0,0.5511363636363636,5.541360294117647,-1240.0,175.0,18560.0,25227.5,239,358,491,0.003,1.0,False
